target_name
Kopavirus kakawais
Tecephavirus sydneyense
Oviruvirus palmerstonense
Batravirus ranidallo1
Batravirus ranidallo2
Batravirus ranidallo3
Cyvirus anguillidallo1
Cyvirus cyprinidallo1
Cyvirus cyprinidallo2
Cyvirus cyprinidallo3
Ictavirus acipenseridallo2
Ictavirus ictaluridallo1
Ictavirus ictaluridallo2
Salmovirus salmonidallo1
Salmovirus salmonidallo2
Salmovirus salmonidallo3
Iltovirus cacatuidalpha2
Iltovirus gallidalpha1
Iltovirus psittacidalpha1
Iltovirus psittacidalpha5
Mardivirus anatidalpha1
Mardivirus columbidalpha1
Mardivirus gallidalpha2
Mardivirus gallidalpha3
Mardivirus meleagridalpha1
Mardivirus spheniscidalpha1
Scutavirus chelonidalpha5
Scutavirus testudinidalpha3
Simplexvirus atelinealpha1
Simplexvirus bovinealpha2
Simplexvirus cercopithecinealpha2
Simplexvirus humanalpha1
Simplexvirus humanalpha2
Simplexvirus leporidalpha4
Simplexvirus macacinealpha1
Simplexvirus macacinealpha2
Simplexvirus macacinealpha3
Simplexvirus macropodidalpha1
Simplexvirus macropodidalpha2
Simplexvirus macropodidalpha4
Simplexvirus paninealpha3
Simplexvirus papiinealpha2
Simplexvirus pteropodidalpha1
Simplexvirus pteropodidalpha2
Simplexvirus saimiriinealpha1
Varicellovirus bovinealpha1
Varicellovirus bovinealpha5
Varicellovirus bubalinealpha1
Varicellovirus canidalpha1
Varicellovirus caprinealpha1
Varicellovirus cercopithecinealpha9
Varicellovirus cervidalpha1
Varicellovirus cervidalpha2
Varicellovirus cervidalpha3
Varicellovirus equidalpha1
Varicellovirus equidalpha3
Varicellovirus equidalpha4
Varicellovirus equidalpha6
Varicellovirus equidalpha8
Varicellovirus equidalpha9
Varicellovirus felidalpha1
Varicellovirus humanalpha3
Varicellovirus monodontidalpha1
Varicellovirus phocidalpha1
Varicellovirus suidalpha1
Cytomegalovirus aotinebeta1
Cytomegalovirus cebinebeta1
Cytomegalovirus cercopithecinebeta5
Cytomegalovirus humanbeta5
Cytomegalovirus macacinebeta3
Cytomegalovirus macacinebeta8
Cytomegalovirus mandrillinebeta1
Cytomegalovirus paninebeta2
Cytomegalovirus papiinebeta3
Cytomegalovirus papiinebeta4
Cytomegalovirus saimiriinebeta4
Muromegalovirus muridbeta1
Muromegalovirus muridbeta2
Muromegalovirus muridbeta8
Proboscivirus elephantidbeta1
Proboscivirus elephantidbeta3
Proboscivirus elephantidbeta4
Proboscivirus elephantidbeta5
Quwivirus caviidbeta2
Quwivirus miniopteridbeta1
Quwivirus tupaiidbeta1
Roseolovirus humanbeta7
Roseolovirus humanbeta6a
Roseolovirus humanbeta6b
Roseolovirus macacinebeta9
Roseolovirus muridbeta3
Roseolovirus suidbeta2
Bossavirus delphinidgamma1
Lymphocryptovirus callitrichinegamma3
Lymphocryptovirus gorillinegamma1
Lymphocryptovirus humangamma4
Lymphocryptovirus macacinegamma4
Lymphocryptovirus macacinegamma10
Lymphocryptovirus macacinegamma13
Lymphocryptovirus paninegamma1
Lymphocryptovirus papiinegamma1
Lymphocryptovirus ponginegamma2
Macavirus alcelaphinegamma1
Macavirus alcelaphinegamma2
Macavirus bovinegamma6
Macavirus caprinegamma2
Macavirus hippotraginegamma1
Macavirus ovinegamma2
Macavirus suidgamma3
Macavirus suidgamma4
Macavirus suidgamma5
Manticavirus phascolarctidgamma1
Manticavirus vombatidgamma1
Patagivirus vespertilionidgamma3
Percavirus equidgamma2
Percavirus equidgamma5
Percavirus felidgamma1
Percavirus mustelidgamma1
Percavirus phocidgamma3
Percavirus rhinolophidgamma1
Percavirus vespertilionidgamma1
Rhadinovirus atelinegamma2
Rhadinovirus atelinegamma3
Rhadinovirus bovinegamma4
Rhadinovirus colobinegamma1
Rhadinovirus cricetidgamma2
Rhadinovirus humangamma8
Rhadinovirus macacinegamma5
Rhadinovirus macacinegamma8
Rhadinovirus macacinegamma11
Rhadinovirus macacinegamma12
Rhadinovirus muridgamma4
Rhadinovirus muridgamma7
Rhadinovirus saimiriinegamma2
Alphapolyomavirus acelebensis
Alphapolyomavirus aflavicollis
Alphapolyomavirus apaniscus
Alphapolyomavirus callosciuri
Alphapolyomavirus cardiodermae
Alphapolyomavirus carolliae
Alphapolyomavirus chlopygerythrus
Alphapolyomavirus dobsoniae
Alphapolyomavirus eidoli
Alphapolyomavirus gorillae
Alphapolyomavirus macacae
Alphapolyomavirus mauratus
Alphapolyomavirus mischreibersii
Alphapolyomavirus molossi
Alphapolyomavirus muris
Alphapolyomavirus nonihominis
Alphapolyomavirus octihominis
Alphapolyomavirus omartiensseni
Alphapolyomavirus pacynocephalus
Alphapolyomavirus panos
Alphapolyomavirus philantombae
Alphapolyomavirus pibadius
Alphapolyomavirus pirufomitratus
Alphapolyomavirus ponabelii
Alphapolyomavirus ponpygmaeus
Alphapolyomavirus procyonis
Alphapolyomavirus ptevampyrus
Alphapolyomavirus quardecihominis
Alphapolyomavirus quartipanos
Alphapolyomavirus quintihominis
Alphapolyomavirus quintipanos
Alphapolyomavirus ranorvegicus
Alphapolyomavirus saraneus
Alphapolyomavirus secarplanirostris
Alphapolyomavirus secomartiensseni
Alphapolyomavirus secumastomysis
Alphapolyomavirus secumischreibersii
Alphapolyomavirus secupanos
Alphapolyomavirus septipanos
Alphapolyomavirus sextipanos
Alphapolyomavirus socoronatus
Alphapolyomavirus sominutus
Alphapolyomavirus sturnirae
Alphapolyomavirus suis
Alphapolyomavirus terdecihominis
Alphapolyomavirus tertarplanisrostris
Alphapolyomavirus tertichlopygerythrus
Alphapolyomavirus tertimastomysis
Alphapolyomavirus tertipanos
Alphapolyomavirus tubelangeri
Alphapolyomavirus tuglis
Betapolyomavirus arplanirostris
Betapolyomavirus calbifrons
Betapolyomavirus callosciuri
Betapolyomavirus canis
Betapolyomavirus cercopitheci
Betapolyomavirus desrotundus
Betapolyomavirus elephanti
Betapolyomavirus enhydrae
Betapolyomavirus equi
Betapolyomavirus gliris
Betapolyomavirus hominis
Betapolyomavirus leporis
Betapolyomavirus lepweddellii
Betapolyomavirus macacae
